EmployeeNumber;StandardHours;Typeofcontract;Age;Gender;MaritalStatus;Education;EducationField;BusinessTravel;DistanceFromHome;Department;JobLevel;JobRole;Salaryineuros;PensionPlan;OverTime;PerformanceRating;PercentageSalaryincrease;TalentStatus;Sicknessdays;NumCompaniesWorked;TotalWorkingYears;TrainingTimes;WorkLifeBalance;YearsAtCompany;YearsInCurrentRole;YearsSinceLastPromotion;YearsWithCurrManager;YearsInCurrentRoleCat;RecruitmentCosts;EnvironmentSatisfaction;ManagerSatisfaction;JobInvolvement;JobSatisfaction;JobSatisfactionCont;Flightrisklikelihoodin2021;Leftthecompanyin2022;OverTimeVal;PensionPlanVal;TalentStatusVal;JobRoleVal;BusinessTravelVal;EducationFieldVal;MaritalStatusVal;GenderVal;TypeOfContractVal;DepartmentValt;EducationVal
EMPLID00141;40;Permanent;30;Male;Single;Associate's degree;Business Administration;Travel_Rarely;9;Local Branch;1;Call center agent;26472;Yes;No;3;13;Contributor A;4;1;12;5;3;12;11;1;8; ;529;4;1;2;4;99;24;0;0;1;1;2;1;5;3;2;1;3;3
EMPLID00142;40;Permanent;39;Male;Married;BsC;IT & Operations;Travel_Rarely;5;Head office;2;Office Support function;25032;Yes;No;1;14;Contributor B;23;3;35;6;4;17;16;0;0; ;1001;4;3;3;1;6;59;1;0;1;3;6;1;4;1;2;1;2;2
EMPLID00145;40;Permanent;24;Male;Married;BsC;Business Administration;Travel_Rarely;1;Local Branch;1;Financial Advisor;27516;Yes;Yes;3;16;Contributor B;5;2;18;2;2;14;13;2;0; ;1101;2;1;3;1;18;74;1;1;1;3;5;1;5;1;2;1;3;2
EMPLID00146;40;Permanent;43;Female;Divorced;Associate's degree;Business Administration;Travel_Rarely;2;Local Branch;1;Financial Advisor;31740;Yes;No;3;12;Rising Star;6;1;6;3;2;5;1;1;4; ;317;4;4;4;4;76;12;0;0;1;4;5;1;5;2;1;1;3;3
EMPLID00147;40;Permanent;50;Male;Married;Associate's degree;Marketing & Sales;Travel_Rarely;3;Head office;1;Office Support function;32196;Yes;Yes;3;14;Contributor A;7;1;10;2;3;10;9;0;2; ;1288;1;3;2;1;16;53;1;1;1;1;6;1;3;1;2;1;2;3
EMPLID00149;40;Permanent;35;Female;Married;BsC;Marketing & Sales;Travel_Rarely;2;Head office;1;Office Support function;24168;Yes;No;3;13;Contributor A;4;1;8;3;3;8;7;2;2; ;483;4;1;3;3;74;42;0;0;1;1;6;1;3;1;1;1;2;2
EMPLID0015;40;Permanent;33;Female;Married;MsC;Finance & Economics;Travel_Frequently;3;Local Branch;1;Financial Advisor;34908;Yes;Yes;3;11;Contributor A;6;1;8;3;3;8;5;3;0; ;1047;4;3;3;3;70;24;0;1;1;1;5;3;1;1;1;1;3;1
EMPLID0017;40;Permanent;27;Male;Married;High school diploma;Business Administration;Travel_Rarely;2;Local Branch;1;Call center agent;41616;Yes;No;3;12;Contributor B;3;9;6;3;3;2;1;2;2; ;832;1;4;3;4;93;37;0;0;1;3;2;1;5;1;2;1;3;4
EMPLID0018;40;Temporary;32;Male;Single;Associate's degree;Finance & Economics;Travel_Frequently;2;Local Branch;1;Call center agent;36816;Yes;No;3;13;Contributor A;4;0;16;2;2;15;14;3;6; ;1104;4;3;3;4;90;10;0;0;1;1;2;3;1;3;2;2;3;3
EMPLID002935;40;Temporary;27;Female;Single;BsC;Finance & Economics;Travel_Frequently;20;Local Branch;2;Branch Representative;119772;Yes;No;3;14;Contributor A;8;1;7;2;3;7;1;0;7; ;10779;4;4;3;3;60;28;0;0;1;1;1;3;1;3;1;2;3;2
EMPLID002965;40;Permanent;51;Male;Married;MsC;Finance & Economics;Travel_Rarely;8;Management;3;Branch Manager;149880;Yes;No;3;16;Rising Star;5;5;16;5;1;10;9;4;7; ;13489;2;4;2;3;70;49;0;0;1;4;7;1;1;1;2;1;1;1
EMPLID002975;40;Permanent;30;Female;Single;BsC;IT & Operations;Travel_Rarely;3;Local Branch;1;Financial Advisor;31884;Yes;Yes;2;11;Contributor A;3;5;8;5;3;5;3;0;4; ;638;4;3;3;1;20;53;1;1;1;1;5;1;4;3;1;1;3;2
EMPLID002985;40;Permanent;41;Female;Single;BsC;Finance & Economics;Travel_Rarely;6;Management;3;Team Manager;163092;Yes;Yes;2;18;Contributor A;10;3;18;3;3;3;2;0;0; ;19571;4;3;3;2;29;39;0;1;1;1;8;1;1;3;1;1;1;2
EMPLID002995;40;Temporary;30;Female;Single;MsC;Marketing & Sales;Travel_Frequently;26;Local Branch;2;Branch Representative;80352;Yes;No;2;15;Contributor A;5;5;21;5;2;18;17;0;1; ;7232;3;3;2;1;19;100;1;0;1;1;1;3;3;3;1;2;3;1
EMPLID003005;40;Permanent;29;Male;Single;BsC;IT & Operations;Travel_Rarely;1;Local Branch;1;Financial Advisor;24696;Yes;No;3;14;Contributor A;5;0;7;1;2;6;6;1;5; ;494;3;4;3;1;8;55;1;0;1;1;5;1;4;3;2;1;3;2
EMPLID003025;40;Permanent;45;Female;Single;BsC;Business Administration;Non-Travel;6;Local Branch;3;Branch Representative;106380;Yes;No;2;12;Contributor A;4;6;23;2;3;19;14;12;8; ;11702;4;4;2;4;90;42;0;0;1;1;1;2;5;3;1;1;3;2
EMPLID003035;40;Permanent;54;Female;Married;BsC;Marketing & Sales;Travel_Rarely;3;Local Branch;2;Branch Representative;71280;Yes;No;3;14;Contributor B;9;2;16;4;3;6;4;0;5; ;4277;4;4;3;3;52;34;0;0;1;3;1;1;3;1;1;1;3;2
EMPLID003045;40;Permanent;36;Male;Single;Associate's degree;Finance & Economics;Travel_Rarely;5;Local Branch;2;Call center agent;70968;Yes;No;2;16;Contributor A;8;8;16;3;4;13;9;3;7; ;4968;4;4;3;4;93;8;0;0;1;1;2;1;1;3;2;1;3;3
EMPLID003055;40;Temporary;33;Female;Married;MsC;Business Administration;Travel_Rarely;4;Local Branch;1;Financial Advisor;31464;Yes;No;4;21;Contributor A;7;6;9;3;3;5;4;1;1; ;0;3;4;2;1;21;37;0;0;1;1;5;1;5;1;1;2;3;1
EMPLID003065;40;Permanent;37;Male;Divorced;BsC;Other;Travel_Frequently;11;Management;3;Branch Manager;146220;Yes;Yes;2;14;Key Talent;8;1;10;1;3;10;8;0;7; ;13160;2;3;3;3;53;45;0;1;1;2;7;3;2;2;2;1;1;2
EMPLID003075;40;Permanent;38;Male;Divorced;BsC;Finance & Economics;Travel_Rarely;3;Local Branch;3;Branch Representative;127308;Yes;No;2;12;Rising Star;6;0;17;6;2;16;7;5;13; ;14004;1;3;3;3;54;21;0;0;1;4;1;1;1;2;2;1;3;2
EMPLID003085;40;Temporary;31;Male;Married;MsC;Business Administration;Non-Travel;1;Head office;2;Marketeer;52140;Yes;No;3;12;Contributor B;5;0;9;2;3;8;7;1;4; ;4171;3;4;1;2;49;2;0;0;1;3;3;2;5;1;2;2;2;1
EMPLID003095;40;Temporary;59;Male;Married;BsC;Finance & Economics;Travel_Rarely;3;Local Branch;1;Financial Advisor;26124;Yes;No;2;17;Contributor B;9;3;14;6;3;8;7;0;0; ;522;3;1;2;4;93;18;0;0;1;3;5;1;1;1;2;2;3;2
EMPLID0031001;40;Permanent;27;Female;Married;MsC;IT & Operations;Travel_Rarely;16;Local Branch;1;Call center agent;33732;Yes;No;3;14;Contributor B;7;9;8;2;3;6;5;2;2; ;1349;3;2;3;4;83;6;0;0;1;3;2;1;4;1;1;1;3;1
EMPLID0031002;40;Permanent;45;Male;Married;Associate's degree;Finance & Economics;Non-Travel;23;Local Branch;2;Call center agent;43596;Yes;Yes;1;15;Contributor B;7;1;9;2;3;9;4;0;8; ;3924;4;3;3;1;25;45;0;1;1;3;2;2;1;1;2;1;3;3
EMPLID0031003;40;Permanent;47;Female;Single;Associate's degree;Finance & Economics;Travel_Rarely;4;Local Branch;2;Branch Representative;49956;Yes;Yes;3;17;Contributor A;5;1;11;0;3;11;10;0;7; ;4496;4;3;3;4;97;0;0;1;1;1;1;1;1;3;1;1;3;3
EMPLID0031004;40;Permanent;30;Female;Married;BsC;Finance & Economics;Travel_Rarely;22;Local Branch;1;Financial Advisor;25584;Yes;Yes;2;11;Contributor A;4;4;13;2;3;11;10;0;1; ;768;1;2;3;2;25;85;1;1;1;1;5;1;1;1;1;1;3;2
EMPLID0031005;40;Permanent;50;Male;Married;BsC;Finance & Economics;Travel_Rarely;24;Head office;4;Marketeer;167676;Yes;Yes;2;18;Contributor B;5;3;22;2;3;12;5;1;5; ;21798;4;4;3;4;88;16;0;1;1;3;3;1;1;1;2;1;2;2
EMPLID0031006;40;Permanent;38;Male;Married;High school diploma;Business Administration;Travel_Frequently;10;Local Branch;1;Financial Advisor;32208;Yes;No;1;17;Contributor B;6;0;10;0;2;9;8;0;2; ;1288;3;2;3;3;64;0;0;0;1;3;5;3;5;1;2;1;3;4
EMPLID0031007;40;Permanent;46;Male;Divorced;Associate's degree;Business Administration;Travel_Rarely;7;Head office;3;Marketeer;130140;Yes;No;2;13;Contributor B;5;6;15;3;3;10;9;0;7; ;13014;4;2;3;4;87;34;0;0;1;3;3;1;5;2;2;1;2;3
EMPLID0031009;40;Permanent;24;Female;Divorced;High school diploma;Business Administration;Travel_Rarely;17;Head office;2;Marketeer;52524;Yes;No;3;15;Rising Star;9;1;13;6;3;12;11;3;2; ;3677;4;2;2;3;58;22;0;0;1;4;3;1;5;2;1;1;2;4
EMPLID0031010;40;Permanent;35;Male;Divorced;MsC;Other;Travel_Rarely;14;Local Branch;1;Call center agent;44916;Yes;Yes;4;24;Contributor B;2;1;18;2;1;17;16;0;2; ;449;3;4;2;3;63;88;1;1;1;3;2;1;2;2;2;1;3;1
EMPLID0031011;40;Permanent;31;Female;Married;High school diploma;Finance & Economics;Travel_Frequently;1;Head office;2;Marketeer;49776;Yes;No;1;12;Contributor B;6;1;9;1;3;9;8;0;3; ;3982;3;3;3;4;77;18;0;0;1;3;3;3;1;1;1;1;2;4
EMPLID0031012;40;Temporary;18;Male;Single;Associate's degree;Finance & Economics;Non-Travel;5;Local Branch;1;Financial Advisor;12612;Yes;No;3;15;Contributor A;5;1;11;2;3;11;10;0;0; ;504;2;4;3;4;96;48;0;0;1;1;5;2;1;3;2;2;3;3
EMPLID0031013;40;Temporary;54;Female;Married;BsC;IT & Operations;Travel_Rarely;17;Head office;3;Marketeer;128868;Yes;No;2;11;Contributor B;14;8;22;2;3;10;8;0;8; ;14175;3;3;3;4;85;50;0;0;1;3;3;1;4;1;1;2;2;2
EMPLID0031014;40;Temporary;35;Female;Divorced;MsC;Business Administration;Travel_Rarely;25;Head office;3;IT developer;124656;Yes;Yes;3;11;Contributor B;5;1;16;3;2;16;3;10;1; ;13712;3;3;3;4;83;49;0;1;1;3;4;1;5;2;1;2;2;1
EMPLID0031015;40;Temporary;30;Female;Married;Associate's degree;Finance & Economics;Travel_Rarely;8;Management;3;Branch Manager;136992;Yes;Yes;1;12;Key Talent;3;0;9;4;2;8;1;1;7; ;16439;2;3;4;4;84;11;0;1;1;2;7;1;1;1;1;2;1;3
EMPLID0031016;40;Temporary;20;Female;Single;BsC;Business Administration;Travel_Rarely;11;Local Branch;1;Financial Advisor;31200;Yes;Yes;3;15;Contributor A;6;1;18;2;3;18;17;0;0; ;0;4;1;2;1;13;68;1;1;1;1;5;1;5;3;1;2;3;2
EMPLID0031017;40;Permanent;30;Female;Single;BsC;Business Administration;Travel_Frequently;5;Local Branch;1;Call center agent;29064;Yes;No;3;17;Contributor A;8;0;19;3;3;18;17;1;2; ;291;2;1;3;1;12;66;1;0;1;1;2;3;5;3;1;1;3;2
EMPLID0031018;40;Permanent;26;Male;Married;Associate's degree;Business Administration;Travel_Rarely;2;Head office;2;Marketeer;65664;Yes;No;2;12;Contributor A;4;1;12;2;3;12;11;1;3; ;5910;4;2;4;3;72;37;0;0;1;1;3;1;5;1;2;1;2;3
EMPLID0031019;40;Permanent;22;Male;Married;High school diploma;Finance & Economics;Travel_Rarely;8;Local Branch;1;Call center agent;29412;Yes;No;3;15;Contributor B;7;1;11;3;2;11;10;1;1; ;588;2;1;1;4;100;13;0;0;1;3;2;1;1;1;2;1;3;4
EMPLID0031022;40;Permanent;48;Male;Single;BsC;IT & Operations;Travel_Rarely;6;Head office;2;IT developer;50880;Yes;No;3;13;Contributor A;7;2;26;0;3;9;8;2;2; ;4579;1;4;2;4;82;37;0;0;1;1;4;1;4;3;2;1;2;2
EMPLID0031024;40;Permanent;48;Male;Single;MsC;IT & Operations;Travel_Rarely;4;Head office;3;IT developer;131988;Yes;No;3;14;Contributor A;6;7;27;3;3;15;3;4;8; ;10559;3;2;2;2;38;8;0;0;1;1;4;1;4;3;2;1;2;1
EMPLID0031025;40;Permanent;41;Female;Single;Associate's degree;Business Administration;Travel_Rarely;7;Head office;2;Marketeer;60036;Yes;No;2;14;Contributor A;7;6;20;6;3;14;13;2;1; ;3602;4;2;3;4;92;4;0;0;1;1;3;1;5;3;1;1;2;3
EMPLID0031026;40;Permanent;39;Female;Married;High school diploma;Finance & Economics;Travel_Rarely;1;Head office;4;Marketeer;152904;Yes;No;3;16;Contributor B;8;1;21;3;3;21;10;11;8; ;21407;4;3;2;4;99;2;0;0;1;3;3;1;1;1;1;1;2;4
EMPLID0031027;40;Permanent;27;Female;Married;MsC;Finance & Economics;Travel_Rarely;2;Head office;2;Marketeer;50724;Yes;No;1;18;Contributor B;5;0;11;2;3;10;9;2;2; ;2536;1;2;3;2;38;35;0;0;1;3;3;1;1;1;1;1;2;1
EMPLID0031028;40;Permanent;35;Male;Divorced;BsC;Other;Travel_Rarely;10;Local Branch;1;Call center agent;47004;Yes;No;4;20;Contributor B;6;1;6;4;2;6;5;1;2; ;1880;2;1;3;4;98;45;0;0;1;3;2;1;2;2;2;1;3;2
EMPLID0031029;40;Permanent;42;Male;Married;Associate's degree;Marketing & Sales;Travel_Rarely;5;Management;5;Team Manager;219636;Yes;No;2;13;Contributor A;1;6;30;3;4;10;9;0;0; ;39534;4;2;3;4;91;21;0;0;1;1;8;1;3;1;2;1;1;3
EMPLID0031030;40;Permanent;50;Male;Married;BsC;Finance & Economics;Travel_Rarely;9;Local Branch;1;Call center agent;28560;Yes;No;3;18;Contributor A;5;4;8;5;3;1;1;0;0; ;571;1;2;3;3;75;23;0;0;1;1;2;1;1;1;2;1;3;2
EMPLID0031032;40;Permanent;59;Female;Single;BsC;Finance & Economics;Travel_Rarely;2;Head office;4;Marketeer;164712;Yes;Yes;2;13;Contributor A;8;3;35;4;3;10;9;4;3; ;21413;3;1;2;4;82;48;0;1;1;1;3;1;1;3;1;1;2;2
EMPLID0031033;40;Permanent;37;Female;Married;Associate's degree;Business Administration;Travel_Rarely;11;Head office;2;IT developer;57324;Yes;No;3;15;Contributor A;8;5;20;2;1;6;5;0;0; ;4586;1;1;1;1;19;50;1;0;1;1;4;1;5;1;1;1;2;3
EMPLID0031034;40;Permanent;55;Male;Married;MsC;IT & Operations;Travel_Frequently;18;Head office;2;IT developer;76620;Yes;Yes;2;14;Rising Star;7;3;17;3;3;8;6;6;7; ;3065;3;4;3;4;98;25;0;1;1;4;4;3;4;1;2;1;2;1
EMPLID0031035;40;Permanent;41;Female;Divorced;High school diploma;Finance & Economics;Non-Travel;7;Management;5;Branch Manager;239676;Yes;No;4;22;Rising Star;8;1;21;3;3;21;1;5;10; ;40745;2;2;1;2;39;21;0;0;1;4;7;2;1;2;1;1;1;4
EMPLID0031036;40;Temporary;38;Male;Single;MsC;Finance & Economics;Travel_Rarely;3;Local Branch;2;Branch Representative;82332;Yes;Yes;3;12;Contributor A;10;8;23;1;3;5;4;0;0; ;7410;2;3;3;3;65;11;0;1;1;1;1;1;1;3;2;2;3;1
EMPLID0031037;40;Temporary;26;Male;Single;Associate's degree;Business Administration;Non-Travel;29;Local Branch;2;Branch Representative;59628;Yes;No;3;18;Contributor A;8;8;16;6;3;11;10;2;2; ;2981;2;4;1;1;16;70;1;0;1;1;1;2;5;3;2;2;3;3
EMPLID0031038;40;Temporary;52;Female;Married;High school diploma;Marketing & Sales;Travel_Rarely;2;Management;5;Team Manager;238140;Yes;No;3;15;Contributor B;6;1;33;3;3;32;12;6;9; ;35721;1;4;1;1;24;77;1;0;1;3;8;1;3;1;1;2;1;4
EMPLID0031039;40;Permanent;44;Female;Married;BsC;Business Administration;Travel_Rarely;28;Local Branch;4;Branch Representative;159840;Yes;Yes;3;18;Contributor B;12;3;23;2;3;12;11;11;11; ;23976;4;3;4;4;96;23;0;1;1;3;1;1;5;1;1;1;3;2
EMPLID0031040;40;Permanent;50;Female;Married;BsC;Finance & Economics;Non-Travel;1;Local Branch;2;Branch Representative;76164;Yes;No;1;12;Contributor B;5;0;19;3;3;18;17;0;13; ;3047;4;1;3;4;82;17;0;0;1;3;1;2;1;1;1;1;3;2
EMPLID0031042;40;Permanent;36;Female;Single;MsC;Finance & Economics;Travel_Rarely;16;Local Branch;1;Call center agent;32916;Yes;No;3;16;Contributor A;5;1;18;1;3;17;3;15;14; ;329;3;3;4;1;12;94;1;0;1;1;2;1;1;3;1;1;3;1
EMPLID0031043;40;Permanent;39;Female;Single;BsC;Business Administration;Travel_Frequently;22;Head office;3;Marketeer;130560;Yes;Yes;3;13;Contributor A;5;1;21;2;3;21;1;2;8; ;14362;4;3;3;3;71;13;0;1;1;1;3;3;5;3;1;1;2;2
EMPLID0031044;40;Permanent;33;Female;Single;High school diploma;Finance & Economics;Non-Travel;8;Head office;1;Office Support function;28104;Yes;No;2;19;Contributor A;5;0;12;2;2;11;10;2;2; ;281;2;4;2;4;77;45;0;0;1;1;6;2;1;3;1;1;2;4
EMPLID0031045;40;Permanent;45;Female;Married;Associate's degree;Finance & Economics;Travel_Rarely;11;Management;4;Team Manager;211800;Yes;No;1;13;Contributor B;6;3;26;4;4;9;9;1;1; ;29652;4;2;3;4;87;17;0;0;1;3;8;1;1;1;1;1;1;3
EMPLID0031046;40;Permanent;32;Female;Single;MsC;Business Administration;Non-Travel;29;Local Branch;1;Call center agent;48300;Yes;No;3;12;Contributor A;4;9;10;2;3;8;6;7;7; ;1932;4;2;3;1;0;28;0;0;1;1;2;2;5;3;1;1;3;1
EMPLID0031047;40;Permanent;34;Male;Divorced;MsC;Marketing & Sales;Travel_Rarely;1;Local Branch;2;Branch Representative;116700;Yes;No;3;11;Contributor B;6;0;16;2;2;15;10;0;9; ;7002;2;4;4;3;62;42;0;0;1;3;1;1;3;2;2;1;3;1
EMPLID0031048;40;Permanent;59;Male;Married;Associate's degree;IT & Operations;Travel_Rarely;1;Management;3;Team Manager;142848;Yes;Yes;2;14;Contributor B;23;3;14;1;1;6;6;0;4; ;17142;2;3;3;3;50;21;0;1;1;3;8;1;4;1;2;1;1;3
